DisplayName,MailNickName,UserPrincipalName,Department,JobTitle,Mobile,Country,EmployeeId
Alexander Clark,alexander.clark,alexander.clark@yourdomain.com,HR,HR Specialist,123456781,Netherlands,81
Daniel Walker,daniel.walker,daniel.walker@yourdomain.com,HR,HR Specialist,123456782,Netherlands,85
Daniel Robinson,daniel.robinson,daniel.robinson@yourdomain.com,IT,IT Engineer,123456783,Netherlands,34
Grace Ramirez,grace.ramirez,grace.ramirez@yourdomain.com,IT,IT Engineer,123456784,Netherlands,82
Zoey Flores,zoey.flores,zoey.flores@yourdomain.com,IT,IT Engineer,123456785,Netherlands,94
Lucas Wilson,lucas.wilson,lucas.wilson@yourdomain.com,IT,IT Engineer,123456786,Netherlands,18
Aria Allen,aria.allen,aria.allen@yourdomain.com,HR,HR Specialist,123456787,Netherlands,37
Michael Lewis,michael.lewis,michael.lewis@yourdomain.com,HR,HR Specialist,123456788,Netherlands,83
Amelia Thomas,amelia.thomas,amelia.thomas@yourdomain.com,IT,IT Engineer,123456789,Netherlands,70
Isabella Lopez,isabella.lopez,isabella.lopez@yourdomain.com,IT,IT Engineer,1234567810,Netherlands,66
Sebastian Hill,sebastian.hill,sebastian.hill@yourdomain.com,HR,HR Specialist,1234567811,Netherlands,93
Jackson Scott,jackson.scott,jackson.scott@yourdomain.com,IT,IT Engineer,1234567812,Netherlands,40
Ethan Williams,ethan.williams,ethan.williams@yourdomain.com,HR,HR Specialist,1234567813,Netherlands,57
Jeffrey Howard,jeffrey.howard,jeffrey.howard@yourdomain.com,HR,HR Specialist,1234567814,Netherlands,53
Amanda Welch,amanda.welch,amanda.welch@yourdomain.com,IT,IT Engineer,1234567815,Netherlands,52
Victoria Lewis,victoria.lewis,victoria.lewis@yourdomain.com,HR,HR Specialist,1234567816,Netherlands,33
Michael Ramirez,michael.ramirez,michael.ramirez@yourdomain.com,IT,IT Engineer,1234567817,Netherlands,32
Nora Green,nora.green,nora.green@yourdomain.com,HR,HR Specialist,1234567818,Netherlands,45
Jacob Harris,jacob.harris,jacob.harris@yourdomain.com,HR,HR Specialist,1234567819,Netherlands,79
Charlotte Miller,charlotte.miller,charlotte.miller@yourdomain.com,HR,HR Specialist,1234567820,Netherlands,11
Kevin Howard,kevin.howard,kevin.howard@yourdomain.com,HR,HR Specialist,1234567821,Netherlands,3
Evelyn Martin,evelyn.martin,evelyn.martin@yourdomain.com,IT,IT Engineer,1234567822,Netherlands,74
Lily Baker,lily.baker,lily.baker@yourdomain.com,IT,IT Engineer,1234567823,Netherlands,98
Liam Rodriguez,liam.rodriguez,liam.rodriguez@yourdomain.com,HR,HR Specialist,1234567824,Netherlands,63
Mason Thomas,mason.thomas,mason.thomas@yourdomain.com,IT,IT Engineer,1234567825,Netherlands,20
